O:\ztree1\160412_1144.xls
160412_1144	1	summary	
160412_1144	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160412_1144	1	session	1	6	0	0	0	6	6	
160412_1144	1	session	2	5	0	0	0	5	5	
160412_1144	1	session	3	7	0	0	0	7	7	
160412_1144	1	session	4	5	0	0	0	5	5	
160412_1144	1	session	5	7	0	0	0	7	7	
160412_1144	1	session	6	7	0	0	0	7	7	
160412_1144	1	session	7	6	0	0	0	6	6	
160412_1144	1	session	8	6	0	0	0	6	6	
160412_1144	1	session	9	7	0	0	0	7	7	
160412_1144	1	session	10	7	0	0	0	7	7	
160412_1144	1	session	11	4	0	0	0	4	4	
160412_1144	1	session	12	2	0	0	0	2	2	
160412_1144	1	session	13	5	0	0	0	5	5	
160412_1144	1	session	14	6	0	0	0	6	6	
160412_1144	1	session	15	7	0	0	0	7	7	
160412_1144	1	session	16	5	0	0	0	5	5	
160412_1144	1	session	17	5	0	0	0	5	5	
160412_1144	1	session	18	5	0	0	0	5	5	
160412_1144	1	session	19	5	0	0	0	5	5	
160412_1144	1	session	20	6	0	0	0	6	6	
160412_1144	1	session	21	3	0	0	0	3	3	
160412_1144	1	session	22	6.5	0	0	0	6.5	6.5	
160412_1144	1	session	23	7	0	0	0	7	7	
160412_1144	1	session	24	2.5	0	0	0	2.5	2.5	
160412_1144	1	session	25	7	0	0	0	7	7	
160412_1144	1	session	26	6.7	0	0	0	6.7	6.7	
160412_1144	1	session	27	6	0	0	0	6	6	
160412_1144	1	session	28	7	0	0	0	7	7	
