O:\ztree1\160412_1333.xls
160412_1333	1	summary	
160412_1333	1	session	Subject	FinalProfit	ShowUpFee	ShowUpFeeInvested	MoneyAdded	MoneyToPay	MoneyEarned	
160412_1333	1	session	1	7	0	0	0	7	7	
160412_1333	1	session	2	7	0	0	0	7	7	
160412_1333	1	session	3	2	0	0	0	2	2	
160412_1333	1	session	4	6.7	0	0	0	6.7	6.7	
160412_1333	1	session	5	7	0	0	0	7	7	
160412_1333	1	session	6	6	0	0	0	6	6	
160412_1333	1	session	7	6	0	0	0	6	6	
160412_1333	1	session	8	7	0	0	0	7	7	
160412_1333	1	session	9	7	0	0	0	7	7	
160412_1333	1	session	10	7	0	0	0	7	7	
160412_1333	1	session	11	0	0	0	0	0	0	
160412_1333	1	session	12	3.6	0	0	0	3.6	3.6	
160412_1333	1	session	13	6	0	0	0	6	6	
160412_1333	1	session	14	6	0	0	0	6	6	
160412_1333	1	session	15	6	0	0	0	6	6	
160412_1333	1	session	16	2	0	0	0	2	2	
160412_1333	1	session	17	7	0	0	0	7	7	
160412_1333	1	session	18	7	0	0	0	7	7	
160412_1333	1	session	19	4	0	0	0	4	4	
160412_1333	1	session	20	7	0	0	0	7	7	
160412_1333	1	session	21	5	0	0	0	5	5	
160412_1333	1	session	22	7	0	0	0	7	7	
160412_1333	1	session	23	7	0	0	0	7	7	
160412_1333	1	session	24	2	0	0	0	2	2	
160412_1333	1	session	25	0	0	0	0	0	0	
160412_1333	1	session	26	7	0	0	0	7	7	
160412_1333	1	session	27	5	0	0	0	5	5	
160412_1333	1	session	28	7	0	0	0	7	7	
160412_1333	1	session	29	7	0	0	0	7	7	
160412_1333	1	session	30	6	0	0	0	6	6	
